motif,C_eff,C_eff_err
2-6,0.017259,0.001263
3-5,0.048449,0.004934
3-5,0.031849,0.002445
3-5,0.035898,0.003009
3-5,0.039759,0.002969
3-5,0.033240,0.002630
3-5,0.035606,0.003228
3-5,0.041964,0.003808
3-5,0.032311,0.002585
3-5,0.040351,0.003717
3-5,0.055358,0.005386
3-5,0.051488,0.005684
3-5,0.055704,0.003685
4-4,0.059301,0.004205
4-4,0.073509,0.007804
4-4,0.077709,0.008405
4-4,0.096302,0.010534
4-4,0.080284,0.007878
4-4,0.060172,0.004723
4-4,0.057746,0.004021
4-4,0.063699,0.005909
4-4,0.069546,0.008627
4-4,0.074518,0.007575
4-4,0.082020,0.008491
4-4,0.059116,0.004687
5-3,0.034959,0.002903
5-3,0.048333,0.004341
5-3,0.058990,0.005886
5-3,0.058183,0.006300
5-3,0.048627,0.003369
5-3,0.040759,0.004754
5-3,0.029766,0.002112
5-3,0.037179,0.003021
5-3,0.034971,0.002872
5-3,0.033686,0.002492
5-3,0.035747,0.003113
5-3,0.037161,0.003929
6-2,0.013889,0.000956
6-2,0.018742,0.001266
6-2,0.016187,0.001079
6-2,0.016891,0.001116
6-2,0.016695,0.001361
6-2,0.016256,0.001250
6-2,0.014479,0.001066
6-2,0.017487,0.001336
6-2,0.017666,0.001531
6-2,0.015757,0.001732
6-2,0.014022,0.001069
6-2,0.012991,0.000896
7-1,0.011090,0.000729
7-1,0.009810,0.000674
7-1,0.009483,0.000811
7-1,0.008543,0.000545
7-1,0.008558,0.000616
7-1,0.009064,0.000579
7-1,0.010157,0.000677
7-1,0.010786,0.000943
7-1,0.009228,0.000784
7-1,0.010722,0.001237
7-1,0.008584,0.000672
7-1,0.010047,0.000784
8-0,0.009108,0.000690
8-0,0.008656,0.000720
8-0,0.006836,0.000487
8-0,0.008437,0.001531
8-0,0.006355,0.000623
8-0,0.006212,0.000526
8-0,0.008348,0.000703
8-0,0.006687,0.000417
8-0,0.006444,0.000591
8-0,0.007035,0.000614
8-0,0.007768,0.000728
8-0,0.008362,0.000588
0-0-0,0.004589,0.000655
0-0-0,0.007452,0.001068
0-0-0,0.006878,0.000995
0-0-0,0.005599,0.000876
0-0-0,0.006299,0.001119
